rank,overallScore,graphicsScore,physicsScore,cpu,gpu,maxClock,coreClock,memClock,user,date
3418,20506,22050,14684,Intel Core i9-12900KF Processor,NVIDIA GeForce RTX 3090 Ti,5200,2100,1313,犹豫败北果敢白给,4월 8 2022
3419,20505,21662,15744,Intel Core i9-12900KS Processor,NVIDIA GeForce RTX 3090 Ti,5297,2040,1313,A Sa 唱,5월 3 2022
3420,20505,21545,16101,Intel Core i7-12700F Processor,NVIDIA GeForce RTX 3090 Ti,4788,2055,1313,KlausDD,5월 17 2022
3421,20504,21239,17144,Intel Core i9-12900KF Processor,NVIDIA GeForce RTX 3090 Ti,5187,1995,1313,Mikenguyen05,4월 16 2022
3422,20504,22507,13632,Intel Core i9-10850K Processor,NVIDIA GeForce RTX 3090 Ti,5002,2055,1338,icel0re,4월 16 2022
3423,20504,21451,16403,Intel Core i9-12900K Processor,NVIDIA GeForce RTX 3090 Ti,5200,2040,1313,carlos j ramos,4월 26 2022
3424,20502,20519,20407,Intel Core i9-12900K Processor,NVIDIA GeForce RTX 3090 Ti,5207,2100,1325,lsaint012001,4월 7 2022
3425,20502,21324,16830,Intel Core i9-12900K Processor,NVIDIA GeForce RTX 3090 Ti,5000,2025,1313,Arasoi,5월 2 2022
3426,20501,22295,14081,Intel Core i9-10900KF Processor,NVIDIA GeForce RTX 3090 Ti,5100,2145,1313,yaheldavila,4월 15 2022
3427,20501,21199,17281,Intel Core i9-12900KF Processor,NVIDIA GeForce RTX 3090 Ti,5187,2025,1313,Mikenguyen05,4월 21 2022
3428,20500,21088,17703,Intel Core i9-12900K Processor,NVIDIA GeForce RTX 3090 Ti,5201,2010,1313,Numlocktv,5월 21 2022
3429,20498,21086,17703,Intel Core i9-12900K Processor,NVIDIA GeForce RTX 3090 Ti,5000,2130,1375,Icereak,3월 31 2022
3430,20498,23191,12365,AMD Ryzen 7 5800X,NVIDIA GeForce RTX 3090 Ti,4849,2160,1413,Brendog_78,5월 8 2022
3431,20495,21001,18037,Intel Core i9-12900K Processor,NVIDIA GeForce RTX 3090 Ti,5100,2085,1313,Kopaka Nuva,4월 1 2022
3432,20495,21231,17132,Intel Core i9-12900KS Processor,NVIDIA GeForce RTX 3090 Ti,5201,1965,1313,Face Of Boe,4월 28 2022
3433,20495,21465,16317,Intel Core i9-12900K Processor,NVIDIA GeForce RTX 3090 Ti,5400,2010,1313,lucht-joerg,5월 17 2022
3434,20494,22225,14221,Intel Core i9-11900K Processor,NVIDIA GeForce RTX 3090 Ti,5100,2085,1313,spence680,4월 18 2022
3435,20494,21557,16022,Intel Core i9-12900KF Processor,NVIDIA GeForce RTX 3090 Ti,5200,2010,1313,优秀-1683,5월 19 2022
3436,20493,21842,15181,Intel Core i7-12700K Processor,NVIDIA GeForce RTX 3090 Ti,4901,2100,1356,deercreekgamer41,4월 12 2022
3437,20493,21317,16811,Intel Core i9-12900K Processor,NVIDIA GeForce RTX 3090 Ti,5001,2040,1313,ufo777usa,5월 19 2022
3438,20493,21132,17496,Intel Core i9-12900K Processor,NVIDIA GeForce RTX 3090 Ti,5100,2040,1313,掏骨刀的就是狼吗,5월 20 2022
3439,20492,21511,16159,Intel Core i7-12700F Processor,NVIDIA GeForce RTX 3090 Ti,4788,2055,1313,KlausDD,5월 17 2022
3440,20490,21401,16509,Intel Core i7-12700K Processor,NVIDIA GeForce RTX 3090 Ti,4889,2010,1313,Mikehud1984,5월 7 2022
3441,20488,23102,12486,AMD Ryzen 9 5900X,NVIDIA GeForce RTX 3090 Ti,4849,2205,1438,EC-2,5월 4 2022
3442,20487,21739,15449,AMD Ryzen 9 5950X,NVIDIA GeForce RTX 3090 Ti,4999,2040,1338,OldBarretts,5월 16 2022
3443,20486,21701,15553,Intel Core i9-12900K Processor,NVIDIA GeForce RTX 3090 Ti,4889,2040,1313,cinemanie,5월 14 2022
3444,20485,22138,14395,Intel Core i9-11900K Processor,NVIDIA GeForce RTX 3090 Ti,5100,2085,1313,spence680,4월 14 2022
3445,20484,23195,12325,AMD Ryzen 9 5900X,NVIDIA GeForce RTX 3090 Ti,4849,2220,1450,EC-2,5월 4 2022
3446,20484,22220,14199,AMD Ryzen 9 5950X,NVIDIA GeForce RTX 3090 Ti,4949,2100,1313,SevenGhost,5월 5 2022
3447,20483,22523,13537,Intel Core i9-10850K Processor,NVIDIA GeForce RTX 3090 Ti,5002,2070,1338,icel0re,4월 16 2022
3448,20482,21313,16779,Intel Core i9-12900KS Processor,NVIDIA GeForce RTX 3090 Ti,5500,2010,1313,kf4unf,4월 22 2022
3449,20482,22746,13097,AMD Ryzen 9 5950X,NVIDIA GeForce RTX 3090 Ti,4849,2205,1341,f22skyfox1,5월 9 2022
3450,20481,21206,17161,Intel Core i9-12900K Processor,NVIDIA GeForce RTX 3090 Ti,5287,2040,1313,siikdude,4월 1 2022
3451,20481,21565,15944,Intel Core i7-12700KF Processor,NVIDIA GeForce RTX 3090 Ti,4901,2025,1313,marionege,4월 11 2022
3452,20481,22161,14329,Intel Core i9-10900K Processor,NVIDIA GeForce RTX 3090 Ti,5101,2130,1388,placebo78,4월 21 2022
3453,20481,23342,12088,AMD Ryzen 9 5900X,NVIDIA GeForce RTX 3090 Ti,4949,2190,1444,EC-2,5월 5 2022
3454,20481,22517,13544,AMD Ryzen 9 5900X,NVIDIA GeForce RTX 3090 Ti,4661,2160,1400,DAFT Osiris,5월 16 2022
3455,20480,21332,16701,Intel Core i9-12900KS Processor,NVIDIA GeForce RTX 3090 Ti,5500,2025,1313,kf4unf,4월 23 2022
3456,20479,21579,15891,Intel Core i9-12900K Processor,NVIDIA GeForce RTX 3090 Ti,5200,2190,1338,뻘짓연구소 BullsLab,4월 21 2022
3457,20476,21975,14769,Intel Core i9-12900KF Processor,NVIDIA GeForce RTX 3090 Ti,5201,2100,1313,犹豫败北果敢白给,4월 8 2022
3458,20476,22157,14320,Intel Core i9-10900K Processor,NVIDIA GeForce RTX 3090 Ti,5303,2070,1338,IX 77 Rider,4월 12 2022
3459,20476,22234,14143,Intel Core i9-10900K Processor,NVIDIA GeForce RTX 3090 Ti,5103,2175,1400,不爱玫瑰的小王子,4월 30 2022
3460,20476,20642,19588,Intel Core i9-12900KF Processor,NVIDIA GeForce RTX 3090 Ti,5100,2010,1313,把把逆风局,5월 16 2022
3461,20475,22333,13918,AMD Ryzen 9 5900X,NVIDIA GeForce RTX 3090 Ti,4951,2130,1313,hamsper,4월 5 2022
3462,20475,21934,14873,Intel Core i9-12900KF Processor,NVIDIA GeForce RTX 3090 Ti,5501,2100,1313,犹豫败北果敢白给,4월 8 2022
3463,20475,21211,17112,Intel Core i9-12900KF Processor,NVIDIA GeForce RTX 3090 Ti,5187,2040,1313,Mikenguyen05,4월 21 2022
3464,20475,21192,17185,Intel Core i9-12900K Processor,NVIDIA GeForce RTX 3090 Ti,5201,2010,1313,T-Nerd,5월 15 2022
3465,20474,22191,14235,AMD Ryzen 9 5900X,NVIDIA GeForce RTX 3090 Ti,4951,2085,1338,UnknownH4TE,5월 1 2022
3466,20473,22245,14106,AMD Ryzen 9 5900X,NVIDIA GeForce RTX 3090 Ti,4951,2130,1313,hamsper,4월 13 2022
3467,20471,23190,12300,Intel Core i9-9900KS Processor,NVIDIA GeForce RTX 3090 Ti,5173,2190,1450,Dk-zAkAN,4월 18 2022
3468,20471,21228,17034,Intel Core i9-12900KS Processor,NVIDIA GeForce RTX 3090 Ti,5001,1995,1313,kf4unf,5월 2 2022
3469,20470,21975,14747,Intel Core i9-12900KF Processor,NVIDIA GeForce RTX 3090 Ti,5200,2100,1313,犹豫败北果敢白给,4월 9 2022
3470,20469,21366,16539,Intel Core i7-12700KF Processor,NVIDIA GeForce RTX 3090 Ti,4889,2010,1313,Issam85,5월 18 2022
3471,20468,23193,12289,Intel Core i9-9900KS Processor,NVIDIA GeForce RTX 3090 Ti,5178,2190,1461,Dk-zAkAN,4월 18 2022
3472,20468,23179,12310,Intel Core i9-9900KS Processor,NVIDIA GeForce RTX 3090 Ti,5176,2190,1460,Dk-zAkAN,5월 14 2022
